"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.520,1.54,-0.01,-3.32,0.520,1.42,-1.11,-15.65,0.520,1.47,-0.40,-9.35,0.520,1.54,-0.16,-6.47,0.520,1.45,-1.20,-6.40,0.520,1.49,-0.12,-12.81,0.520,1.18,-1.67,-2.20,0.520,1.38,-0.30,-6.07,0.520,1.39,-1.24,0.44,0.520,1.38,-0.76,0.74
0.540,1.53,-0.08,-5.50,0.540,1.40,-1.36,-10.29,0.540,1.47,-0.56,-9.77,0.540,1.53,-0.42,-9.37,0.540,1.43,-1.26,-5.25,0.540,1.48,-0.48,-17.83,0.540,1.15,-1.64,-0.53,0.540,1.39,-0.59,-11.26,0.540,1.36,-1.18,4.59,0.540,1.36,-0.67,1.35
0.560,1.53,-0.22,-9.00,0.560,1.36,-1.49,-6.14,0.560,1.45,-0.77,-9.08,0.560,1.52,-0.62,-10.65,0.560,1.40,-1.38,-5.40,0.560,1.48,-0.97,-17.11,0.560,1.12,-1.64,-0.98,0.560,1.36,-0.87,-11.04,0.560,1.34,-1.04,2.61,0.560,1.35,-0.70,-0.13
0.580,1.53,-0.39,-12.25,0.580,1.33,-1.58,-3.81,0.580,1.44,-0.96,-8.51,0.580,1.50,-0.82,-9.69,0.580,1.38,-1.52,-4.74,0.580,1.44,-1.26,-11.36,0.580,1.08,-1.69,-1.96,0.580,1.34,-1.09,-6.62,0.580,1.32,-0.99,-0.41,0.580,1.33,-0.71,-0.86
0.600,1.51,-0.78,-12.85,0.600,1.30,-1.62,-3.39,0.600,1.41,-1.10,-7.70,0.600,1.49,-1.03,-8.73,0.600,1.34,-1.59,-3.22,0.600,1.41,-1.40,-5.95,0.600,1.05,-1.74,-2.48,0.600,1.32,-1.12,-3.07,0.600,1.30,-1.12,-2.11,0.600,1.32,-0.73,-0.81
0.620,1.50,-0.99,-11.30,0.620,1.27,-1.69,-4.08,0.620,1.39,-1.25,-8.51,0.620,1.46,-1.17,-7.33,0.620,1.31,-1.62,-2.69,0.620,1.39,-1.42,-3.39,0.620,1.02,-1.78,-2.78,0.620,1.30,-1.14,-2.21,0.620,1.28,-1.15,-1.41,0.620,1.30,-0.74,-1.02
0.640,1.46,-1.16,-10.51,0.640,1.23,-1.79,-5.05,0.640,1.37,-1.40,-9.62,0.640,1.44,-1.32,-5.99,0.640,1.28,-1.67,-3.60,0.640,1.36,-1.52,-1.97,0.640,0.98,-1.85,-3.07,0.640,1.27,-1.19,-3.21,0.640,1.25,-1.13,-0.18,0.640,1.29,-0.77,-1.29
0.660,1.46,-1.37,-12.11,0.660,1.20,-1.90,-5.52,0.660,1.34,-1.68,-8.89,0.660,1.41,-1.41,-4.81,0.660,1.24,-1.77,-4.63,0.660,1.33,-1.54,-1.61,0.660,0.94,-1.92,-2.89,0.660,1.25,-1.28,-3.71,0.660,1.24,-1.15,-0.38,0.660,1.27,-0.79,-1.60
0.680,1.41,-1.67,-10.34,0.680,1.16,-2.01,-6.02,0.680,1.30,-1.82,-6.22,0.680,1.38,-1.51,-3.22,0.680,1.21,-1.88,-4.87,0.680,1.30,-1.52,-2.14,0.680,0.90,-1.97,-1.72,0.680,1.22,-1.36,-3.08,0.680,1.21,-1.14,-1.07,0.680,1.26,-0.83,-1.60
0.700,1.39,-1.94,-6.10,0.700,1.12,-2.13,-6.71,0.700,1.26,-1.89,-3.63,0.700,1.35,-1.56,-2.83,0.700,1.17,-1.96,-4.51,0.700,1.27,-1.62,-3.61,0.700,0.86,-2.00,-0.40,0.700,1.20,-1.42,-2.25,0.700,1.18,-1.18,-1.98,0.700,1.24,-0.87,-0.86
