Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1,Time (s) Run #2,Position (m) Run #2,Velocity (m/s) Run #2,Acceleration (m/s²) Run #2,Time (s) Run #3,Position (m) Run #3,Velocity (m/s) Run #3,Acceleration (m/s²) Run #3,Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4,Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5,Time (s) Run #6,Position (m) Run #6,Velocity (m/s) Run #6,Acceleration (m/s²) Run #6,Time (s) Run #7,Position (m) Run #7,Velocity (m/s) Run #7,Acceleration (m/s²) Run #7,Time (s) Run #8,Position (m) Run #8,Velocity (m/s) Run #8,Acceleration (m/s²) Run #8,Time (s) Run #9,Position (m) Run #9,Velocity (m/s) Run #9,Acceleration (m/s²) Run #9,Time (s) Run #10,Position (m) Run #10,Velocity (m/s) Run #10,Acceleration (m/s²) Run #10
,,,,,,,,,,,,0.92,0.89,-2.39,-1.88,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.94,0.84,-2.42,-2.64,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.96,0.8,-2.5,-3.06,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.98,0.74,-2.58,-2.32,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.0,0.69,-2.59,-1.74,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.02,0.64,-2.6,-2.08,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.04,0.59,-2.69,-2.34,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.06,0.53,-2.74,-1.46,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.08,0.48,-2.74,-0.55,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.1,0.43,-2.72,-0.87,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.12,0.37,-2.76,-1.98,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.14,0.31,-2.82,0.06,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.16,0.26,-2.88,8.08,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.18,0.2,-2.6,240.02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.2,0.14,-2.02,521.47,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.0,1.53,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.02,1.53,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.04,1.53,-0.01,-0.36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.06,1.53,-0.01,-0.15,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.08,1.53,-0.01,-0.07,,,,,,,,,,,,,,,,,,,,
