"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.520,1.41,0.30,-13.43,0.520,1.37,-0.68,-4.37,0.520,1.49,-0.06,0.60,0.520,1.45,-0.34,-6.84,0.520,1.43,-0.51,-2.61,0.520,1.37,0.10,3.27,0.520,1.38,-0.25,-3.11,0.520,1.35,-0.68,-0.80,0.520,1.42,0.01,0.06,0.520,1.42,-0.20,0.40
0.540,1.42,-0.22,-14.88,0.540,1.35,-0.76,-1.28,0.540,1.47,-0.12,0.82,0.540,1.44,-0.44,-4.48,0.540,1.43,-0.48,-1.91,0.540,1.38,0.08,-3.64,0.540,1.38,-0.27,-3.57,0.540,1.33,-0.62,2.40,0.540,1.43,0.02,-1.29,0.540,1.42,-0.24,3.65
0.560,1.41,-0.27,-9.18,0.560,1.34,-0.72,1.12,0.560,1.48,-0.09,0.76,0.560,1.43,-0.46,-2.21,0.560,1.41,-0.51,-2.10,0.560,1.38,-0.11,-9.11,0.560,1.37,-0.35,-4.86,0.560,1.32,-0.53,2.98,0.560,1.42,-0.04,-2.37,0.560,1.40,-0.03,6.66
0.580,1.40,-0.45,-6.39,0.580,1.32,-0.64,0.28,0.580,1.47,-7.57E-4,-1.55,0.580,1.43,-0.51,-1.35,0.580,1.41,-0.60,-2.48,0.580,1.37,-0.38,-9.42,0.580,1.37,-0.50,-5.20,0.580,1.32,-0.44,0.47,0.580,1.43,-0.10,-3.35,0.580,1.42,0.15,4.42
0.600,1.39,-0.58,-5.49,0.600,1.31,-0.66,-2.63,0.600,1.48,-0.09,-7.28,0.600,1.41,-0.53,-0.84,0.600,1.39,-0.64,-1.23,0.600,1.37,-0.53,-6.81,0.600,1.35,-0.60,-3.79,0.600,1.31,-0.50,-3.00,0.600,1.42,-0.15,-4.24,0.600,1.42,0.21,-0.38
0.620,1.38,-0.68,-2.64,0.620,1.30,-0.78,-3.79,0.620,1.48,-0.31,-9.83,0.620,1.40,-0.53,-0.91,0.620,1.38,-0.65,0.37,0.620,1.35,-0.63,-3.53,0.620,1.34,-0.64,-2.38,0.620,1.30,-0.60,-5.94,0.620,1.42,-0.27,-5.90,0.620,1.42,0.05,-3.07
0.640,1.36,-0.70,-0.14,0.640,1.28,-0.90,-1.67,0.640,1.47,-0.66,-5.07,0.640,1.39,-0.54,-1.75,0.640,1.37,-0.61,1.24,0.640,1.34,-0.68,-1.60,0.640,1.33,-0.66,-2.04,0.640,1.28,-0.74,-6.77,0.640,1.41,-0.38,-6.60,0.640,1.42,0.02,-3.10
0.660,1.35,-0.65,0.56,0.660,1.26,-0.86,0.74,0.660,1.45,-0.61,2.54,0.660,1.38,-0.61,-2.00,0.660,1.35,-0.58,1.41,0.660,1.32,-0.66,-1.15,0.660,1.31,-0.73,-1.13,0.660,1.27,-0.92,-5.02,0.660,1.40,-0.58,-4.97,0.660,1.42,-0.03,-1.60
0.680,1.34,-0.63,-0.30,0.680,1.25,-0.78,0.78,0.680,1.43,-0.39,5.28,0.680,1.37,-0.66,-0.88,0.680,1.34,-0.55,1.16,0.680,1.32,-0.69,-1.45,0.680,1.30,-0.76,0.43,0.680,1.25,-0.99,-1.13,0.680,1.39,-0.63,-2.11,0.680,1.42,-0.08,0.81
0.700,1.33,-0.68,-1.07,0.700,1.23,-0.81,-0.78,0.700,1.44,-0.27,1.22,0.700,1.35,-0.65,0.16,0.700,1.33,-0.54,0.80,0.700,1.30,-0.75,-0.87,0.700,1.28,-0.68,0.90,0.700,1.22,-0.94,2.30,0.700,1.37,-0.61,-0.56,0.700,1.42,-0.04,4.29
